Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
10000,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",0,1,0.18,3,10,10,-1,False
10001,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",1,1,0.14,3,10,10,-1,False
10002,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",2,1,0.21,3,10,10,-1,False
10003,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",3,1,0.14,3,10,10,-1,False
10004,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",4,1,0.17,3,10,10,-1,False
10005,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",0,1,0.02,1,10,10,-1,False
10006,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",1,1,0.02,1,10,10,-1,False
10007,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",2,1,0.02,1,10,10,-1,False
10008,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",3,1,0.03,1,10,10,-1,False
10009,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",4,1,0.03,1,10,10,-1,False
10010,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",0,1,0.09,2,10,10,-1,False
10011,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",1,1,0.08,2,10,10,-1,False
10012,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",2,1,0.08,2,10,10,-1,False
10013,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",3,1,0.08,2,10,10,-1,False
10014,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",4,1,0.08,2,10,10,-1,False
10015,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",0,8,0.5,9,10,10,-1,False
10016,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",1,8,0.73,9,10,10,-1,False
10017,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",2,8,0.48,9,10,10,-1,False
10018,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",3,8,0.47,9,10,10,-1,False
10019,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",4,8,0.49,9,10,10,-1,False
10020,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",0,8,0.53,11,10,10,-1,False
10021,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",1,8,0.51,11,10,10,-1,False
10022,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",2,8,0.54,11,10,10,-1,False
10023,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",3,8,0.65,11,10,10,-1,False
10024,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",4,8,0.61,11,10,10,-1,False
10025,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",0,1,0.04,1,10,10,-1,False
10026,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",1,1,0.04,1,10,10,-1,False
10027,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",2,1,0.04,1,10,10,-1,False
10028,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",3,1,0.04,1,10,10,-1,False
10029,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",4,1,0.06,1,10,10,-1,False
10030,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",0,0,0.01,0,10,10,-1,False
10031,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",1,0,0.01,0,10,10,-1,False
10032,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",2,0,0.01,0,10,10,-1,False
10033,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",3,0,0.01,0,10,10,-1,False
10034,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",4,0,0.01,0,10,10,-1,False
10035,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",0,1,0.05,1,10,10,-1,False
10036,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",1,1,0.05,1,10,10,-1,False
10037,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",2,1,0.04,1,10,10,-1,False
10038,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",3,1,0.04,1,10,10,-1,False
10039,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",4,1,0.04,1,10,10,-1,False
10040,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",0,9,2.05,26,10,10,-1,False
10041,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",1,9,2.39,26,10,10,-1,False
10042,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",2,9,2.1,26,10,10,-1,False
10043,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",3,9,2.23,26,10,10,-1,False
10044,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",4,9,2.31,26,10,10,-1,False
10045,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",0,2,0.96,13,10,10,-1,False
10046,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",1,2,0.96,13,10,10,-1,False
10047,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",2,2,1.18,13,10,10,-1,False
10048,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",3,2,0.98,13,10,10,-1,False
10049,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",4,2,0.98,13,10,10,-1,False
10050,fmt,forest,11,"[225, 11]","[37, 215]",0,7,1.6,18,10,10,-1,False
10051,fmt,forest,11,"[225, 11]","[37, 215]",1,7,1.45,18,10,10,-1,False
10052,fmt,forest,11,"[225, 11]","[37, 215]",2,7,1.57,18,10,10,-1,False
10053,fmt,forest,11,"[225, 11]","[37, 215]",3,7,1.83,18,10,10,-1,False
10054,fmt,forest,11,"[225, 11]","[37, 215]",4,7,1.54,18,10,10,-1,False
10055,fmt,forest,12,"[35, 215]","[232, 14]",0,1,0.31,6,10,10,-1,False
10056,fmt,forest,12,"[35, 215]","[232, 14]",1,1,0.33,6,10,10,-1,False
10057,fmt,forest,12,"[35, 215]","[232, 14]",2,1,0.33,6,10,10,-1,False
10058,fmt,forest,12,"[35, 215]","[232, 14]",3,1,0.32,6,10,10,-1,False
10059,fmt,forest,12,"[35, 215]","[232, 14]",4,1,0.31,6,10,10,-1,False
10060,fmt,forest,13,"[210, 250]","[42, 20]",0,9,1.78,21,10,10,-1,False
10061,fmt,forest,13,"[210, 250]","[42, 20]",1,9,1.72,21,10,10,-1,False
10062,fmt,forest,13,"[210, 250]","[42, 20]",2,9,1.98,21,10,10,-1,False
10063,fmt,forest,13,"[210, 250]","[42, 20]",3,9,1.9,21,10,10,-1,False
10064,fmt,forest,13,"[210, 250]","[42, 20]",4,9,1.99,21,10,10,-1,False
10065,fmt,forest,14,"[242, 206]","[36, 30]",0,8,1.78,20,10,10,-1,False
10066,fmt,forest,14,"[242, 206]","[36, 30]",1,8,1.79,20,10,10,-1,False
10067,fmt,forest,14,"[242, 206]","[36, 30]",2,8,1.78,20,10,10,-1,False
10068,fmt,forest,14,"[242, 206]","[36, 30]",3,8,1.84,20,10,10,-1,False
10069,fmt,forest,14,"[242, 206]","[36, 30]",4,8,1.79,20,10,10,-1,False
10070,fmt,forest,15,"[247, 9]","[9, 191]",0,8,1.41,13,10,10,-1,False
10071,fmt,forest,15,"[247, 9]","[9, 191]",1,8,1.36,13,10,10,-1,False
10072,fmt,forest,15,"[247, 9]","[9, 191]",2,8,1.41,13,10,10,-1,False
10073,fmt,forest,15,"[247, 9]","[9, 191]",3,8,1.91,13,10,10,-1,False
10074,fmt,forest,15,"[247, 9]","[9, 191]",4,8,1.42,13,10,10,-1,False
10075,fmt,gapsforest,16,"[215, 25]","[38, 236]",0,0,0.17,2,10,10,-1,False
10076,fmt,gapsforest,16,"[215, 25]","[38, 236]",1,0,0.17,2,10,10,-1,False
10077,fmt,gapsforest,16,"[215, 25]","[38, 236]",2,0,0.18,2,10,10,-1,False
10078,fmt,gapsforest,16,"[215, 25]","[38, 236]",3,0,0.17,2,10,10,-1,False
10079,fmt,gapsforest,16,"[215, 25]","[38, 236]",4,0,0.17,2,10,10,-1,False
10080,fmt,gapsforest,17,"[206, 5]","[42, 246]",0,0,0.05,1,10,10,-1,False
10081,fmt,gapsforest,17,"[206, 5]","[42, 246]",1,0,0.05,1,10,10,-1,False
10082,fmt,gapsforest,17,"[206, 5]","[42, 246]",2,0,0.05,1,10,10,-1,False
10083,fmt,gapsforest,17,"[206, 5]","[42, 246]",3,0,0.05,1,10,10,-1,False
10084,fmt,gapsforest,17,"[206, 5]","[42, 246]",4,0,0.05,1,10,10,-1,False
10085,fmt,gapsforest,18,"[207, 234]","[8, 16]",0,5,1.43,15,10,10,-1,False
10086,fmt,gapsforest,18,"[207, 234]","[8, 16]",1,5,1.42,15,10,10,-1,False
10087,fmt,gapsforest,18,"[207, 234]","[8, 16]",2,5,1.42,15,10,10,-1,False
10088,fmt,gapsforest,18,"[207, 234]","[8, 16]",3,5,1.47,15,10,10,-1,False
10089,fmt,gapsforest,18,"[207, 234]","[8, 16]",4,5,1.41,15,10,10,-1,False
10090,fmt,gapsforest,19,"[233, 15]","[76, 237]",0,0,0.12,1,10,10,-1,False
10091,fmt,gapsforest,19,"[233, 15]","[76, 237]",1,0,0.05,1,10,10,-1,False
10092,fmt,gapsforest,19,"[233, 15]","[76, 237]",2,0,0.05,1,10,10,-1,False
10093,fmt,gapsforest,19,"[233, 15]","[76, 237]",3,0,0.05,1,10,10,-1,False
10094,fmt,gapsforest,19,"[233, 15]","[76, 237]",4,0,0.08,1,10,10,-1,False
10095,fmt,gapsforest,20,"[246, 214]","[6, 18]",0,6,1.01,14,10,10,-1,False
10096,fmt,gapsforest,20,"[246, 214]","[6, 18]",1,6,0.85,14,10,10,-1,False
